city,city_ibge_code,date,state,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
Acarape,2300150,2022-08-18,CE,3379,22318.362,36,-1,0
Acarape,2300150,2022-08-17,CE,3380,22324.967,36,0,0
Acarape,2300150,2022-08-16,CE,3380,22324.967,36,0,0
Acarape,2300150,2022-08-15,CE,3380,22324.967,36,0,0
Acarape,2300150,2022-08-14,CE,3380,22324.967,36,0,0
Acarape,2300150,2022-08-13,CE,3380,22324.967,36,0,0
Acarape,2300150,2022-08-12,CE,3380,22324.967,36,0,0
Acarape,2300150,2022-08-11,CE,3380,22324.967,36,6,0
Acarape,2300150,2022-08-10,CE,3374,22285.337,36,-1,0
Acarape,2300150,2022-08-09,CE,3375,22291.942,36,0,0
Acarape,2300150,2022-08-08,CE,3375,22291.942,36,0,0
Acarape,2300150,2022-08-07,CE,3375,22291.942,36,0,0
Acarape,2300150,2022-08-06,CE,3375,22291.942,36,1,0
Acarape,2300150,2022-08-05,CE,3374,22285.337,36,-1,0
Acarape,2300150,2022-08-04,CE,3375,22291.942,36,0,0
Acarape,2300150,2022-08-03,CE,3375,22291.942,36,1,0
Acarape,2300150,2022-08-02,CE,3374,22285.337,36,0,0
Acarape,2300150,2022-08-01,CE,3374,22285.337,36,0,0
Acarape,2300150,2022-07-31,CE,3374,22285.337,36,0,0
Acarape,2300150,2022-07-30,CE,3374,22285.337,36,0,0
Acarape,2300150,2022-07-29,CE,3374,22285.337,36,0,0
Acarape,2300150,2022-07-28,CE,3374,22285.337,36,2,0
Acarape,2300150,2022-07-27,CE,3372,22272.127,36,0,0
Acarape,2300150,2022-07-26,CE,3372,22272.127,36,2,0
Acarape,2300150,2022-07-25,CE,3370,22258.917,36,0,0
Acarape,2300150,2022-07-24,CE,3370,22258.917,36,0,0
Acarape,2300150,2022-07-23,CE,3370,22258.917,36,1,0
Acarape,2300150,2022-07-22,CE,3369,22252.312,36,1,0
Acarape,2300150,2022-07-21,CE,3368,22245.707,36,1,0
Acarape,2300150,2022-07-20,CE,3367,22239.102,36,3,0
Acarape,2300150,2022-07-19,CE,3364,22219.287,36,1,0
Acarape,2300150,2022-07-18,CE,3363,22212.682,36,0,0
Acarape,2300150,2022-07-17,CE,3363,22212.682,36,2,0
Acarape,2300150,2022-07-16,CE,3361,22199.472,36,22,0
Acarape,2300150,2022-07-15,CE,3339,22054.161,36,100,0
Acarape,2300150,2022-07-14,CE,3239,21393.659,36,5,0
Acarape,2300150,2022-07-13,CE,3234,21360.634,36,5,0
Acarape,2300150,2022-07-12,CE,3229,21327.609,36,0,0
Acarape,2300150,2022-07-11,CE,3229,21327.609,36,0,0
Acarape,2300150,2022-07-10,CE,3229,21327.609,36,1,0
Acarape,2300150,2022-07-09,CE,3228,21321.004,36,4,0
Acarape,2300150,2022-07-08,CE,3224,21294.584,36,19,0
Acarape,2300150,2022-07-07,CE,3205,21169.089,36,1,0
Acarape,2300150,2022-07-06,CE,3204,21162.483,36,9,0
Acarape,2300150,2022-07-05,CE,3195,21103.038,36,0,0
Acarape,2300150,2022-07-04,CE,3195,21103.038,36,0,0
Acarape,2300150,2022-07-03,CE,3195,21103.038,36,-1,0
Acarape,2300150,2022-07-02,CE,3196,21109.643,36,2,0
Acarape,2300150,2022-07-01,CE,3194,21096.433,36,357,4
Acarape,2300150,2022-06-30,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-29,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-28,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-27,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-26,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-25,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-24,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-23,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-22,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-21,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-20,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-19,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-18,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-17,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-16,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-15,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-14,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-13,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-12,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-11,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-10,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-09,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-08,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-07,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-06,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-05,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-04,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-03,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-02,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-06-01,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-31,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-30,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-29,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-28,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-27,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-26,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-25,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-24,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-23,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-22,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-21,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-20,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-19,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-18,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-17,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-16,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-15,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-14,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-13,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-12,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-11,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-10,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-09,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-08,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-07,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-06,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-05,CE,2837,18738.441,32,0,0
Acarape,2300150,2022-05-04,CE,2837,18738.441,32,0,0
