city,city_ibge_code,date,state,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
Acarape,2300150,2022-12-23,CE,3409,22516.513,36,0,0
Acarape,2300150,2022-12-22,CE,3409,22516.513,36,0,0
Acarape,2300150,2022-12-21,CE,3409,22516.513,36,0,0
Acarape,2300150,2022-12-20,CE,3409,22516.513,36,1,0
Acarape,2300150,2022-12-19,CE,3408,22509.908,36,0,0
Acarape,2300150,2022-12-18,CE,3408,22509.908,36,0,0
Acarape,2300150,2022-12-17,CE,3408,22509.908,36,0,0
Acarape,2300150,2022-12-16,CE,3408,22509.908,36,1,0
Acarape,2300150,2022-12-15,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-14,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-13,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-12,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-11,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-10,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-09,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-08,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-07,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-06,CE,3407,22503.303,36,0,0
Acarape,2300150,2022-12-05,CE,3407,22503.303,36,1,0
Acarape,2300150,2022-12-04,CE,3406,22496.697,36,1,0
Acarape,2300150,2022-12-03,CE,3405,22490.092,36,3,0
Acarape,2300150,2022-12-02,CE,3402,22470.277,36,11,0
Acarape,2300150,2022-12-01,CE,3391,22397.622,36,0,0
Acarape,2300150,2022-11-30,CE,3391,22397.622,36,0,0
Acarape,2300150,2022-11-29,CE,3391,22397.622,36,2,0
Acarape,2300150,2022-11-28,CE,3389,22384.412,36,0,0
Acarape,2300150,2022-11-27,CE,3389,22384.412,36,0,0
Acarape,2300150,2022-11-26,CE,3389,22384.412,36,1,0
Acarape,2300150,2022-11-25,CE,3388,22377.807,36,2,0
Acarape,2300150,2022-11-24,CE,3386,22364.597,36,0,0
Acarape,2300150,2022-11-23,CE,3386,22364.597,36,0,0
Acarape,2300150,2022-11-22,CE,3386,22364.597,36,0,0
Acarape,2300150,2022-11-21,CE,3386,22364.597,36,0,0
Acarape,2300150,2022-11-20,CE,3386,22364.597,36,1,0
Acarape,2300150,2022-11-19,CE,3385,22357.992,36,0,0
Acarape,2300150,2022-11-18,CE,3385,22357.992,36,0,0
Acarape,2300150,2022-11-17,CE,3385,22357.992,36,1,0
Acarape,2300150,2022-11-16,CE,3384,22351.387,36,0,0
Acarape,2300150,2022-11-15,CE,3384,22351.387,36,0,0
Acarape,2300150,2022-11-14,CE,3384,22351.387,36,0,0
Acarape,2300150,2022-11-13,CE,3384,22351.387,36,0,0
Acarape,2300150,2022-11-12,CE,3384,22351.387,36,0,0
Acarape,2300150,2022-11-11,CE,3384,22351.387,36,0,0
