city,city_ibge_code,date,state,last_available_confirmed,last_available_deaths_per_100k_inhabitants,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
Acarape,2300150,2022-11-29,CE,3391,237.78071,22397.62219,36,2,0
Aracoiaba,2301208,2022-11-29,CE,5571,146.61654,20943.60902,39,5,0
Barreira,2301950,2022-11-29,CE,2350,233.326,10345.58662,53,1,0
Baturité,2302107,2022-11-29,CE,5831,251.88917,16140.28289,91,6,0
Camaçari,2905701,2022-11-29,BA,34396,223.15076,11123.90365,690,55,0
Candeias,2906501,2022-11-29,BA,10362,235.70941,11799.13459,207,1,0
Capistrano,2302909,2022-11-29,CE,3148,213.12395,17655.63657,38,2,0
Dias d'Ávila,2910057,2022-11-29,BA,7282,218.62493,8699.59978,183,1,0
Guaramiranga,2305100,2022-11-29,CE,1959,118.27321,38616.20343,6,12,0
Itaparica,2916104,2022-11-29,BA,1890,187.16578,8422.45989,42,0,0
Itapiúna,2306504,2022-11-29,CE,2929,183.99264,14181.95904,38,0,0
Lauro de Freitas,2919207,2022-11-29,BA,32382,278.49845,15821.64373,570,15,0
Madre de Deus,2919926,2022-11-29,BA,3535,229.84279,16249.88508,50,6,0
Mata de São João,2921005,2022-11-29,BA,5732,165.81659,12031.14833,79,21,0
Mulungu,2309102,2022-11-29,CE,1870,189.94211,16913.89291,21,0,0
Ocara,2309458,2022-11-29,CE,3406,181.06172,13121.19578,47,1,0
Palmácia,2310100,2022-11-29,CE,1422,169.70412,10492.14196,23,0,0
Pojuca,2925204,2022-11-29,BA,5414,155.93673,13400.6584,63,1,0
Redenção,2311603,2022-11-29,CE,7587,400.16417,25949.10733,117,0,0
Salvador,2927408,2022-11-29,BA,325451,307.10415,11221.21394,8907,226,7
Simões Filho,2930709,2022-11-29,BA,11705,199.10004,8536.50532,273,0,1
São Francisco do Conde,2929206,2022-11-29,BA,5347,184.43832,13149.2229,75,0,0
São Sebastião do Passé,2929503,2022-11-29,BA,4488,231.18014,10073.16964,103,1,0
Vera Cruz,2933208,2022-11-29,BA,2186,215.00509,4947.38033,95,0,0
