city,city_ibge_code,macro_region,date,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths_per_100k_inhabitants,estimated_population_2019,last_available_deaths,state,new_confirmed,new_deaths
Acarape,2300150,3° REGIÃO DE MARACANAÚ,2021-07-22,2788,18542.16547,200.9512,14929,30,CE,0,0
Apuiarés,2300903,2° REGIÃO DE CAUCAIA,2021-07-22,1286,8764.99455,171.2329,14600,25,CE,9,0
Aquiraz,2301000,1° REGIÃO DE FORTALEZA,2021-07-22,6558,8102.79854,110.8744,80271,89,CE,10,0
Aracoiaba,2301208,4° REGIÃO BATURITÉ,2021-07-22,4243,15990.20162,124.6741,26469,33,CE,10,0
Aratuba,2301406,4° REGIÃO BATURITÉ,2021-07-22,1591,13480.76597,75.9686,11847,9,CE,10,1
Barreira,2301950,3° REGIÃO DE MARACANAÚ,2021-07-22,1550,6866.61055,205.1282,22425,46,CE,3,0
Baturité,2302107,,2021-07-22,4179,11627.38933,234.965,35750,84,CE,4,0
Capistrano,2302909,4° REGIÃO BATURITÉ,2021-07-22,2413,13566.85033,191.6789,17738,34,CE,1,0
Caucaia,2303709,2° REGIÃO DE CAUCAIA,2021-07-22,22164,6068.80387,258.9928,361400,936,CE,13,4
Eusébio,2304285,,2021-07-22,9644,17748.4955,227.5355,53618,122,CE,9,2
Fortaleza,2304400,1° REGIÃO DE FORTALEZA,2021-07-22,252938,9414.75732,352.8585,2669342,9419,CE,291,16
General Sampaio,2304608,2° REGIÃO DE CAUCAIA,2021-07-22,537,6979.46452,249.4093,7618,19,CE,-1,0
Guaiúba,2304954,,2021-07-22,1614,6139.21643,234.0393,26064,61,CE,2,0
Guaramiranga,2305100,4° REGIÃO BATURITÉ,2021-07-22,876,17069.36867,96.2835,5193,5,CE,0,0
Itaitinga,2306256,1° REGIÃO DE FORTALEZA,2021-07-22,4581,11953.03327,171.1427,37980,65,CE,17,0
Itapajé,2306306,,2021-07-22,3220,6067.80108,260.0854,52675,137,CE,-1,0
Itapiúna,2306504,,2021-07-22,2198,10711.50097,176.6264,20382,36,CE,0,0
Maracanaú,2307650,,2021-07-22,21237,9255.28855,320.3356,227886,730,CE,9,1
Maranguape,2307700,3° REGIÃO DE MARACANAÚ,2021-07-22,11675,8956.93002,198.4835,128978,256,CE,1,2
Mulungu,2309102,4° REGIÃO BATURITÉ,2021-07-22,1254,11461.47519,175.5521,10823,19,CE,1,0
Ocara,2309458,,2021-07-22,2141,8287.84888,155.6239,25703,40,CE,11,1
Pacatuba,2309706,3° REGIÃO DE MARACANAÚ,2021-07-22,6153,7277.00641,276.8722,83432,231,CE,2,-3
Pacoti,2309805,4° REGIÃO BATURITÉ,2021-07-22,1448,11783.85417,220.2104,12261,27,CE,1,0
Palmácia,2310100,3° REGIÃO DE MARACANAÚ,2021-07-22,982,7307.0913,172.6467,13322,23,CE,0,0
Palmácia,2310100,3° REGIÃO DE MARACANAÚ,2021-07-22,982,7307.0913,172.6467,13322,23,CE,0,0
Paracuru,2310209,2° REGIÃO DE CAUCAIA,2021-07-22,4914,13919.10265,316.4557,35076,111,CE,0,0
Paraipaba,2310258,2° REGIÃO DE CAUCAIA,2021-07-22,2882,8735.45102,222.9416,32744,73,CE,1,0
Redenção,2311603,3° REGIÃO DE MARACANAÚ,2021-07-22,5043,17302.5458,313.2207,29053,91,CE,0,0
São Gonçalo do Amarante,2312403,2° REGIÃO DE CAUCAIA,2021-07-22,7126,14581.84125,431.622,48422,209,CE,-2,1
São Luís do Curu,2312601,,2021-07-22,1345,10311.25422,300.0,13000,39,CE,1,0
Tejuçuoca,2313351,,2021-07-22,1780,9188.99386,161.5677,19187,31,CE,2,0
