city,city_ibge_code,date,state,last_available_confirmed,last_available_deaths_per_100k_inhabitants,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
Alagoinhas,2900702,2023-01-05,BA,20298,241.14022,13264.67263,369,0,0
Amélia Rodrigues,2901106,2023-01-05,BA,3096,224.02688,12385.48626,56,0,0
Antônio Cardoso,2901700,2023-01-05,BA,1201,102.82776,10291.34533,12,0,0
Aramari,2902203,2023-01-05,BA,1074,130.21964,9323.72602,15,0,0
Aratuípe,2902302,2023-01-05,BA,1213,158.22785,13709.31284,14,0,0
Araçás,2902054,2023-01-05,BA,1080,130.751,8825.69257,16,0,0
Cabaceiras do Paraguaçu,2904852,2023-01-05,BA,1701,42.08311,8947.92215,8,0,0
Cachoeira,2904902,2023-01-05,BA,3065,101.0131,9106.03405,34,0,0
Camaçari,2905701,2023-01-05,BA,35293,225.73801,11413.99964,698,0,0
Candeias,2906501,2023-01-05,BA,10945,236.8481,12462.99248,208,0,0
Catu,2907509,2023-01-05,BA,9132,202.81772,16536.88747,112,0,0
Conceição da Feira,2908200,2023-01-05,BA,2356,152.6185,10273.40514,35,0,0
Conceição do Almeida,2908309,2023-01-05,BA,4125,193.12928,24141.15995,33,0,0
Conceição do Jacuípe,2908507,2023-01-05,BA,5074,145.69891,15087.27067,49,0,0
Coração de Maria,2908903,2023-01-05,BA,3078,116.11808,13746.59461,26,0,0
Cruz das Almas,2909802,2023-01-05,BA,8603,125.15057,13458.37961,80,0,0
Dias d'Ávila,2910057,2023-01-05,BA,7757,223.40362,9267.06887,187,0,0
Feira de Santana,2910800,2023-01-05,BA,80896,193.87701,12961.87993,1210,0,0
Governador Mangabeira,2911600,2023-01-05,BA,2025,105.76923,9735.57692,22,0,0
Irará,2914505,2023-01-05,BA,2950,112.60877,10066.54155,33,0,0
Itaparica,2916104,2023-01-05,BA,1909,187.16578,8507.13012,42,0,0
Jaguaripe,2917805,2023-01-05,BA,1685,135.68521,8793.44536,26,0,0
Lauro de Freitas,2919207,2023-01-05,BA,33455,283.87299,16345.90485,581,0,0
Madre de Deus,2919926,2023-01-05,BA,3672,229.84279,16879.65432,50,0,0
Maragogipe,2920601,2023-01-05,BA,3052,129.17019,6797.02463,58,0,0
Mata de São João,2921005,2023-01-05,BA,5968,165.81659,12526.49917,79,0,0
Muniz Ferreira,2922201,2023-01-05,BA,1344,40.19293,18006.43087,3,0,0
Muritiba,2922300,2023-01-05,BA,2962,122.36574,10067.98097,36,0,0
Nazaré,2922508,2023-01-05,BA,3776,205.85465,13174.69732,59,0,0
Pedrão,2924108,2023-01-05,BA,536,80.66685,7206.23824,6,0,0
Pojuca,2925204,2023-01-05,BA,5749,163.36229,14229.8458,66,0,0
Salinas da Margarida,2927309,2023-01-05,BA,2072,143.32897,12912.07079,23,0,0
Salvador,2927408,2023-01-05,BA,333855,311.41402,11510.97517,9032,0,0
Santo Amaro,2928604,2023-01-05,BA,5138,176.10899,8536.30171,106,0,0
Santo Estêvão,2928802,2023-01-05,BA,6239,124.84627,11625.61026,67,0,0
Sapeaçu,2929602,2023-01-05,BA,2882,166.46576,16543.2524,29,0,0
Saubara,2929750,2023-01-05,BA,716,172.65477,5886.70558,21,0,0
Simões Filho,2930709,2023-01-05,BA,11815,204.93447,8616.72878,281,0,0
São Felipe,2929107,2023-01-05,BA,4073,161.26737,19318.88251,34,0,0
São Francisco do Conde,2929206,2023-01-05,BA,5766,189.35668,14179.61834,77,0,0
São Félix,2929008,2023-01-05,BA,1324,60.87662,8955.62771,9,0,0
São Gonçalo dos Campos,2929305,2023-01-05,BA,3413,109.61764,8907.73848,42,0,0
São Sebastião do Passé,2929503,2023-01-05,BA,4897,240.15801,10991.1568,107,0,0
Teodoro Sampaio,2931400,2023-01-05,BA,576,150.76754,7894.73684,11,0,0
Terra Nova,2931707,2023-01-05,BA,1162,199.72346,8926.10232,26,0,0
Vera Cruz,2933208,2023-01-05,BA,2250,215.00509,5092.22587,95,0,0
