city,city_ibge_code,date,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths_per_100k_inhabitants,estimated_population_2019,last_available_deaths,state,new_confirmed,new_deaths
Alagoinhas,2900702,2021-08-18,14438,9478.29341,210.4277,151596,319,BA,5,0
Amélia Rodrigues,2901106,2021-08-18,2335,9322.10156,187.2361,25102,47,BA,0,0
Antônio Cardoso,2901700,2021-08-18,623,5335.27447,94.1539,11683,11,BA,0,0
Araçás,2902054,2021-08-18,714,5848.62385,114.9708,12177,14,BA,0,0
Aramari,2902203,2021-08-18,668,5828.46174,105.2909,11397,12,BA,0,0
Aratuípe,2902302,2021-08-18,485,5488.28788,124.6459,8825,11,BA,3,0
Cabaceiras do Paraguaçu,2904852,2021-08-18,761,4024.11295,26.5858,18807,5,BA,1,0
Cachoeira,2904902,2021-08-18,1709,5091.30992,89.6325,33470,30,BA,6,0
Camaçari,2905701,2021-08-18,24621,8090.97541,205.2606,299132,614,BA,13,0
Candeias,2906501,2021-08-18,8310,9501.70367,219.3486,87076,191,BA,22,0
Catu,2907509,2021-08-18,6622,12046.57086,182.802,54704,100,BA,2,0
Conceição da Feira,2908200,2021-08-18,1772,7784.90467,141.7121,22581,32,BA,0,0
Conceição do Almeida,2908309,2021-08-18,2619,15257.79202,162.3471,17247,28,BA,2,0
Conceição do Jacuípe,2908507,2021-08-18,3307,9901.79053,111.6038,33153,37,BA,4,0
Coração de Maria,2908903,2021-08-18,1841,8184.0409,92.8998,22605,21,BA,0,0
Cruz das Almas,2909802,2021-08-18,5416,8516.9285,105.9473,63239,67,BA,2,0
Dias d'Ávila,2910057,2021-08-18,5768,6997.28261,197.3141,81089,160,BA,1,0
Feira de Santana,2910800,2021-08-18,53316,8604.7814,170.7672,614872,1050,BA,45,0
Governador Mangabeira,2911600,2021-08-18,1172,5644.92823,86.8642,20722,18,BA,1,0
Irará,2914505,2021-08-18,1969,6749.39156,96.4387,29034,28,BA,0,0
Itaparica,2916104,2021-08-18,1414,6330.30398,170.9556,22228,38,BA,1,0
Jaguaripe,2917805,2021-08-18,1040,5479.16337,106.4509,18788,20,BA,2,0
Lauro de Freitas,2919207,2021-08-18,22914,11364.09849,265.5715,198440,527,BA,18,0
Madre de Deus,2919926,2021-08-18,2826,13185.89026,222.8227,21093,47,BA,-1,0
Maragogipe,2920601,2021-08-18,2307,5150.35831,107.4378,44677,48,BA,0,0
Mata de São João,2921005,2021-08-18,4356,9243.30518,135.2425,46583,63,BA,3,0
Muniz Ferreira,2922201,2021-08-18,932,12521.83259,40.4204,7422,3,BA,0,0
Muritiba,2922300,2021-08-18,2343,7966.678,95.2413,29399,28,BA,0,0
Nazaré,2922508,2021-08-18,2758,9645.38015,168.2734,28525,48,BA,-1,0
Pedrão,2924108,2021-08-18,334,4517.17609,40.833,7347,3,BA,0,0
Pojuca,2925204,2021-08-18,3735,9344.04083,129.0518,39519,51,BA,1,0
Salinas da Margarida,2927309,2021-08-18,1505,9488.08473,134.0397,15667,21,BA,0,0
Salvador,2927408,2021-08-18,234037,8107.42932,270.0231,2872347,7756,BA,130,0
Santo Amaro,2928604,2021-08-18,3102,5158.73676,143.1687,60069,86,BA,3,1
Santo Estêvão,2928802,2021-08-18,4573,8584.73033,121.0974,52850,64,BA,0,0
São Felipe,2929107,2021-08-18,3394,16100.56926,137.6103,21074,29,BA,0,2
São Félix,2929008,2021-08-18,1000,6774.14984,67.8426,14740,10,BA,0,0
São Francisco do Conde,2929206,2021-08-18,3726,9258.29296,170.8457,39802,68,BA,2,0
São Gonçalo dos Campos,2929305,2021-08-18,2464,6494.12261,87.8828,37550,33,BA,0,0
São Sebastião do Passé,2929503,2021-08-18,3517,7915.82264,205.4176,44300,91,BA,2,0
Sapeaçu,2929602,2021-08-18,1882,10810.50032,126.4513,17398,22,BA,11,0
Saubara,2929750,2021-08-18,636,5254.02726,157.768,12043,19,BA,2,0
Simões Filho,2930709,2021-08-18,9075,6683.45816,175.6253,134377,236,BA,0,0
Teodoro Sampaio,2931400,2021-08-18,305,4144.58486,107.7441,7425,8,BA,0,0
Terra Nova,2931707,2021-08-18,906,6955.85413,184.1479,13033,24,BA,0,0
Vera Cruz,2933208,2021-08-18,1773,4055.7233,180.4595,43223,78,BA,2,0
